id,hand,session,Accelerometer X,Accelerometer Y,Accelerometer Z,datetime
TD6,dx,dom,0.988,0.875,-0.395,2017-06-06 16:09:22.912500
TD6,dx,dom,1.0,1.055,-0.262,2017-06-06 16:09:22.925000
TD6,dx,dom,0.867,0.75,-0.773,2017-06-06 16:09:22.937500
TD6,dx,dom,0.52,0.246,-1.273,2017-06-06 16:09:22.950000
TD6,dx,dom,0.148,-0.082,-1.547,2017-06-06 16:09:22.962500
TD6,dx,dom,0.195,-0.457,-1.75,2017-06-06 16:09:22.975000
TD6,dx,dom,0.98,-0.957,-1.949,2017-06-06 16:09:22.987500
TD6,dx,dom,1.926,-1.227,-1.48,2017-06-06 16:09:23.000000
TD6,dx,dom,2.07,-0.949,-0.875,2017-06-06 16:09:23.012500
TD6,dx,dom,1.496,-0.449,-0.727,2017-06-06 16:09:23.025000
TD6,dx,dom,0.887,-0.086,-0.902,2017-06-06 16:09:23.037500
TD6,dx,dom,0.344,0.078,-1.18,2017-06-06 16:09:23.050000
TD6,dx,dom,-0.004,0.051,-1.629,2017-06-06 16:09:23.062500
TD6,dx,dom,0.082,-0.09,-1.832,2017-06-06 16:09:23.075000
TD6,dx,dom,0.418,-0.219,-1.688,2017-06-06 16:09:23.087500
TD6,dx,dom,0.793,-0.344,-1.395,2017-06-06 16:09:23.100000
TD6,dx,dom,1.148,-0.484,-1.301,2017-06-06 16:09:23.112500
TD6,dx,dom,1.367,-0.484,-1.219,2017-06-06 16:09:23.125000
TD6,dx,dom,1.27,-0.242,-1.109,2017-06-06 16:09:23.137500
TD6,dx,dom,1.0,0.051,-0.973,2017-06-06 16:09:23.150000
TD6,dx,dom,0.703,0.289,-0.766,2017-06-06 16:09:23.162500
TD6,dx,dom,0.465,0.488,-0.52,2017-06-06 16:09:23.175000
TD6,dx,dom,0.273,0.727,-0.164,2017-06-06 16:09:23.187500
TD6,dx,dom,0.113,1.094,0.211,2017-06-06 16:09:23.200000
TD6,dx,dom,-0.031,1.387,0.434,2017-06-06 16:09:23.212500
TD6,dx,dom,-0.039,1.375,0.465,2017-06-06 16:09:23.225000
TD6,dx,dom,0.129,1.262,0.383,2017-06-06 16:09:23.237500
TD6,dx,dom,0.352,1.082,0.203,2017-06-06 16:09:23.250000
TD6,dx,dom,0.5,0.918,-0.039,2017-06-06 16:09:23.262500
TD6,dx,dom,0.5,0.793,-0.285,2017-06-06 16:09:23.275000
TD6,dx,dom,0.473,0.707,-0.5,2017-06-06 16:09:23.287500
TD6,dx,dom,0.473,0.523,-0.621,2017-06-06 16:09:23.300000
TD6,dx,dom,0.488,0.254,-0.566,2017-06-06 16:09:23.312500
TD6,dx,dom,0.523,-0.07,-0.512,2017-06-06 16:09:23.325000
TD6,dx,dom,0.594,-0.527,-0.648,2017-06-06 16:09:23.337500
TD6,dx,dom,0.625,-1.051,-0.883,2017-06-06 16:09:23.350000
TD6,dx,dom,0.555,-1.496,-1.113,2017-06-06 16:09:23.362500
TD6,dx,dom,0.512,-1.969,-1.316,2017-06-06 16:09:23.375000
TD6,dx,dom,0.496,-2.371,-1.504,2017-06-06 16:09:23.387500
TD6,dx,dom,0.359,-2.273,-1.57,2017-06-06 16:09:23.400000
TD6,dx,dom,0.293,-1.75,-1.559,2017-06-06 16:09:23.412500
TD6,dx,dom,0.254,-1.223,-1.395,2017-06-06 16:09:23.425000
TD6,dx,dom,0.188,-0.852,-1.074,2017-06-06 16:09:23.437500
TD6,dx,dom,0.102,-0.477,-0.637,2017-06-06 16:09:23.450000
TD6,dx,dom,0.043,-0.156,-0.32,2017-06-06 16:09:23.462500
TD6,dx,dom,0.105,0.16,-0.055,2017-06-06 16:09:23.475000
TD6,dx,dom,0.34,0.512,0.641,2017-06-06 16:09:23.487500
TD6,dx,dom,0.828,1.918,1.355,2017-06-06 16:09:23.500000
TD6,dx,dom,0.996,2.988,1.266,2017-06-06 16:09:23.512500
TD6,dx,dom,0.516,2.305,0.535,2017-06-06 16:09:23.525000
TD6,dx,dom,0.266,1.488,-0.191,2017-06-06 16:09:23.537500
TD6,dx,dom,0.523,1.031,-0.711,2017-06-06 16:09:23.550000
TD6,dx,dom,1.156,0.75,-1.051,2017-06-06 16:09:23.562500
TD6,dx,dom,1.816,0.262,-1.313,2017-06-06 16:09:23.575000
TD6,dx,dom,1.902,-0.09,-1.438,2017-06-06 16:09:23.587500
TD6,dx,dom,1.699,-0.371,-1.836,2017-06-06 16:09:23.600000
TD6,dx,dom,1.488,-0.574,-2.023,2017-06-06 16:09:23.612500
TD6,dx,dom,1.34,-0.633,-2.023,2017-06-06 16:09:23.625000
TD6,dx,dom,1.023,-0.602,-1.629,2017-06-06 16:09:23.637500
TD6,dx,dom,1.008,-0.617,-1.531,2017-06-06 16:09:23.650000
TD6,dx,dom,1.125,-0.496,-1.23,2017-06-06 16:09:23.662500
TD6,dx,dom,1.129,-0.219,-1.117,2017-06-06 16:09:23.675000
TD6,dx,dom,1.125,0.059,-1.023,2017-06-06 16:09:23.687500
TD6,dx,dom,1.109,0.316,-0.797,2017-06-06 16:09:23.700000
TD6,dx,dom,1.07,0.563,-0.551,2017-06-06 16:09:23.712500
TD6,dx,dom,1.0,0.781,-0.309,2017-06-06 16:09:23.725000
TD6,dx,dom,0.797,0.977,-0.07,2017-06-06 16:09:23.737500
TD6,dx,dom,0.539,1.152,0.199,2017-06-06 16:09:23.750000
TD6,dx,dom,0.242,1.34,0.402,2017-06-06 16:09:23.762500
TD6,dx,dom,0.027,1.422,0.43,2017-06-06 16:09:23.775000
TD6,dx,dom,0.0,1.367,0.273,2017-06-06 16:09:23.787500
TD6,dx,dom,0.121,1.207,0.137,2017-06-06 16:09:23.800000
TD6,dx,dom,0.324,0.988,0.109,2017-06-06 16:09:23.812500
TD6,dx,dom,0.461,0.766,0.082,2017-06-06 16:09:23.825000
TD6,dx,dom,0.555,0.484,0.148,2017-06-06 16:09:23.837500
TD6,dx,dom,0.543,0.23,0.098,2017-06-06 16:09:23.850000
TD6,dx,dom,0.5,-0.324,-0.395,2017-06-06 16:09:23.862500
TD6,dx,dom,0.504,-1.133,-0.945,2017-06-06 16:09:23.875000
TD6,dx,dom,0.438,-1.746,-1.023,2017-06-06 16:09:23.887500
TD6,dx,dom,0.25,-2.27,-1.156,2017-06-06 16:09:23.900000
TD6,dx,dom,-0.074,-2.52,-1.211,2017-06-06 16:09:23.912500
TD6,dx,dom,-0.234,-2.586,-1.398,2017-06-06 16:09:23.925000
TD6,dx,dom,-0.273,-2.145,-1.484,2017-06-06 16:09:23.937500
TD6,dx,dom,-0.063,-1.492,-1.512,2017-06-06 16:09:23.950000
TD6,dx,dom,0.219,-0.914,-1.238,2017-06-06 16:09:23.962500
TD6,dx,dom,0.363,-0.445,-0.82,2017-06-06 16:09:23.975000
TD6,dx,dom,0.375,0.035,-0.527,2017-06-06 16:09:23.987500
TD6,dx,dom,0.324,0.391,-0.355,2017-06-06 16:09:24.000000
TD6,dx,dom,0.41,0.75,-0.168,2017-06-06 16:09:24.012500
TD6,dx,dom,0.793,1.727,0.656,2017-06-06 16:09:24.025000
TD6,dx,dom,1.273,2.707,1.418,2017-06-06 16:09:24.037500
TD6,dx,dom,1.406,2.652,1.219,2017-06-06 16:09:24.050000
TD6,dx,dom,1.363,1.633,0.094,2017-06-06 16:09:24.062500
TD6,dx,dom,1.492,0.531,-0.828,2017-06-06 16:09:24.075000
TD6,dx,dom,0.977,0.262,-0.992,2017-06-06 16:09:24.087500
TD6,dx,dom,0.355,0.309,-1.18,2017-06-06 16:09:24.100000
TD6,dx,dom,0.0,0.121,-1.336,2017-06-06 16:09:24.112500
TD6,dx,dom,0.855,-0.684,-2.414,2017-06-06 16:09:24.125000
TD6,dx,dom,1.176,-0.93,-1.938,2017-06-06 16:09:24.137500
TD6,dx,dom,0.91,-0.813,-1.566,2017-06-06 16:09:24.150000
TD6,dx,dom,0.633,-0.738,-1.371,2017-06-06 16:09:24.162500
TD6,dx,dom,0.578,-0.723,-1.105,2017-06-06 16:09:24.175000
TD6,dx,dom,0.578,-0.668,-0.684,2017-06-06 16:09:24.187500
TD6,dx,dom,0.48,-0.441,-0.813,2017-06-06 16:09:24.200000
TD6,dx,dom,0.359,-0.109,-1.07,2017-06-06 16:09:24.212500
TD6,dx,dom,0.379,0.172,-1.363,2017-06-06 16:09:24.225000
TD6,dx,dom,0.395,0.195,-1.535,2017-06-06 16:09:24.237500
TD6,dx,dom,0.211,0.02,-1.539,2017-06-06 16:09:24.250000
TD6,dx,dom,0.016,-0.289,-1.605,2017-06-06 16:09:24.262500
TD6,dx,dom,0.113,-0.57,-1.715,2017-06-06 16:09:24.275000
TD6,dx,dom,0.535,-0.617,-1.645,2017-06-06 16:09:24.287500
TD6,dx,dom,0.922,-0.438,-1.344,2017-06-06 16:09:24.300000
TD6,dx,dom,1.082,-0.105,-1.016,2017-06-06 16:09:24.312500
TD6,dx,dom,1.059,0.223,-0.707,2017-06-06 16:09:24.325000
TD6,dx,dom,0.934,0.477,-0.414,2017-06-06 16:09:24.337500
TD6,dx,dom,0.832,0.777,0.152,2017-06-06 16:09:24.350000
TD6,dx,dom,0.77,1.336,0.605,2017-06-06 16:09:24.362500
TD6,dx,dom,0.734,1.52,0.527,2017-06-06 16:09:24.375000
