Axis1,Axis2,Axis3,hand,session,datetime,id
0,0,0,dx,ndom,2017-05-16 16:42:46,TD0
0,0,0,dx,ndom,2017-05-16 16:42:47,TD0
0,0,0,dx,ndom,2017-05-16 16:42:48,TD0
0,0,0,dx,ndom,2017-05-16 16:42:49,TD0
0,0,0,dx,ndom,2017-05-16 16:42:50,TD0
0,0,0,dx,ndom,2017-05-16 16:42:51,TD0
0,0,0,dx,ndom,2017-05-16 16:42:52,TD0
0,0,0,dx,ndom,2017-05-16 16:42:53,TD0
0,0,0,dx,ndom,2017-05-16 16:42:54,TD0
0,0,0,dx,ndom,2017-05-16 16:42:55,TD0
0,0,0,dx,ndom,2017-05-16 16:42:56,TD0
0,0,0,dx,ndom,2017-05-16 16:42:57,TD0
0,0,0,dx,ndom,2017-05-16 16:42:58,TD0
0,0,0,dx,ndom,2017-05-16 16:42:59,TD0
0,0,0,dx,ndom,2017-05-16 16:43:00,TD0
0,0,0,dx,ndom,2017-05-16 16:43:01,TD0
0,0,0,dx,ndom,2017-05-16 16:43:02,TD0
0,0,0,dx,ndom,2017-05-16 16:43:03,TD0
0,0,0,dx,ndom,2017-05-16 16:43:04,TD0
0,0,0,dx,ndom,2017-05-16 16:43:05,TD0
0,0,0,dx,ndom,2017-05-16 16:43:06,TD0
0,0,0,dx,ndom,2017-05-16 16:43:07,TD0
0,0,0,dx,ndom,2017-05-16 16:43:08,TD0
0,0,0,dx,ndom,2017-05-16 16:43:09,TD0
0,0,0,dx,ndom,2017-05-16 16:43:10,TD0
0,0,0,dx,ndom,2017-05-16 16:43:11,TD0
0,0,0,dx,ndom,2017-05-16 16:43:12,TD0
0,0,0,dx,ndom,2017-05-16 16:43:13,TD0
0,0,0,dx,ndom,2017-05-16 16:43:14,TD0
0,0,0,dx,ndom,2017-05-16 16:43:15,TD0
0,0,0,dx,ndom,2017-05-16 16:43:16,TD0
0,0,0,dx,ndom,2017-05-16 16:43:17,TD0
0,0,0,dx,ndom,2017-05-16 16:43:18,TD0
0,0,0,dx,ndom,2017-05-16 16:43:19,TD0
60,24,24,dx,ndom,2017-05-16 16:43:20,TD0
61,5,54,dx,ndom,2017-05-16 16:43:21,TD0
0,0,6,dx,ndom,2017-05-16 16:43:22,TD0
0,0,0,dx,ndom,2017-05-16 16:43:23,TD0
0,0,0,dx,ndom,2017-05-16 16:43:24,TD0
0,0,0,dx,ndom,2017-05-16 16:43:25,TD0
0,0,0,dx,ndom,2017-05-16 16:43:26,TD0
0,0,0,dx,ndom,2017-05-16 16:43:27,TD0
0,0,0,dx,ndom,2017-05-16 16:43:28,TD0
0,0,0,dx,ndom,2017-05-16 16:43:29,TD0
0,0,0,dx,ndom,2017-05-16 16:43:30,TD0
0,0,0,dx,ndom,2017-05-16 16:43:31,TD0
0,0,0,dx,ndom,2017-05-16 16:43:32,TD0
0,0,0,dx,ndom,2017-05-16 16:43:33,TD0
0,0,0,dx,ndom,2017-05-16 16:43:34,TD0
0,0,0,dx,ndom,2017-05-16 16:43:35,TD0
0,0,0,sx,dom,2017-05-23 19:46:10,TD1
0,42,0,sx,dom,2017-05-23 19:46:11,TD1
0,1,0,sx,dom,2017-05-23 19:46:12,TD1
0,4,0,sx,dom,2017-05-23 19:46:13,TD1
0,3,0,sx,dom,2017-05-23 19:46:14,TD1
0,0,0,sx,dom,2017-05-23 19:46:15,TD1
0,0,0,sx,dom,2017-05-23 19:46:16,TD1
0,0,0,sx,dom,2017-05-23 19:46:17,TD1
0,0,0,sx,dom,2017-05-23 19:46:18,TD1
0,0,0,sx,dom,2017-05-23 19:46:19,TD1
0,0,0,sx,dom,2017-05-23 19:46:20,TD1
0,0,0,sx,dom,2017-05-23 19:46:21,TD1
0,0,0,sx,dom,2017-05-23 19:46:22,TD1
0,0,0,sx,dom,2017-05-23 19:46:23,TD1
0,0,0,sx,dom,2017-05-23 19:46:24,TD1
0,2,0,sx,dom,2017-05-23 19:46:25,TD1
0,0,0,sx,dom,2017-05-23 19:46:26,TD1
0,0,0,sx,dom,2017-05-23 19:46:27,TD1
0,0,0,sx,dom,2017-05-23 19:46:28,TD1
0,0,0,sx,dom,2017-05-23 19:46:29,TD1
0,3,3,sx,dom,2017-05-23 19:46:30,TD1
0,0,0,sx,dom,2017-05-23 19:46:31,TD1
0,0,0,sx,dom,2017-05-23 19:46:32,TD1
0,0,0,sx,dom,2017-05-23 19:46:33,TD1
0,0,0,sx,dom,2017-05-23 19:46:34,TD1
0,0,0,sx,dom,2017-05-23 19:46:35,TD1
0,2,2,sx,dom,2017-05-23 19:46:36,TD1
0,3,0,sx,dom,2017-05-23 19:46:37,TD1
0,1,0,sx,dom,2017-05-23 19:46:38,TD1
0,0,0,sx,dom,2017-05-23 19:46:39,TD1
0,0,0,sx,dom,2017-05-23 19:46:40,TD1
1,2,0,sx,dom,2017-05-23 19:46:41,TD1
1,6,0,sx,dom,2017-05-23 19:46:42,TD1
0,0,0,sx,dom,2017-05-23 19:46:43,TD1
0,0,0,sx,dom,2017-05-23 19:46:44,TD1
0,0,0,sx,dom,2017-05-23 19:46:45,TD1
0,0,0,sx,dom,2017-05-23 19:46:46,TD1
0,0,0,sx,dom,2017-05-23 19:46:47,TD1
0,0,0,sx,dom,2017-05-23 19:46:48,TD1
0,0,4,sx,dom,2017-05-23 19:46:49,TD1
0,0,2,sx,dom,2017-05-23 19:46:50,TD1
0,0,0,sx,dom,2017-05-23 19:46:51,TD1
0,0,0,sx,dom,2017-05-23 19:46:52,TD1
0,0,0,sx,dom,2017-05-23 19:46:53,TD1
0,0,0,sx,dom,2017-05-23 19:46:54,TD1
0,0,0,sx,dom,2017-05-23 19:46:55,TD1
0,0,0,sx,dom,2017-05-23 19:46:56,TD1
0,0,0,sx,dom,2017-05-23 19:46:57,TD1
0,0,0,sx,dom,2017-05-23 19:46:58,TD1
0,0,0,sx,dom,2017-05-23 19:46:59,TD1
0,0,0,sx,dom,2017-05-23 19:47:00,TD1
0,0,0,sx,dom,2017-05-23 19:47:01,TD1
0,0,0,sx,dom,2017-05-23 19:47:02,TD1
0,0,0,sx,dom,2017-05-23 19:47:03,TD1
13,13,41,sx,dom,2017-05-23 19:47:04,TD1
40,41,110,sx,dom,2017-05-23 19:47:05,TD1
0,4,21,sx,dom,2017-05-23 19:47:06,TD1
0,0,1,sx,dom,2017-05-23 19:47:07,TD1
0,4,2,sx,dom,2017-05-23 19:47:08,TD1
0,0,0,sx,dom,2017-05-23 19:47:09,TD1
0,0,0,sx,dom,2017-05-23 19:47:10,TD1
225,159,284,dx,dom,2017-05-23 19:46:10,TD1
134,73,251,dx,dom,2017-05-23 19:46:11,TD1
78,87,89,dx,dom,2017-05-23 19:46:12,TD1
127,146,95,dx,dom,2017-05-23 19:46:13,TD1
114,99,71,dx,dom,2017-05-23 19:46:14,TD1
91,60,41,dx,dom,2017-05-23 19:46:15,TD1
87,51,60,dx,dom,2017-05-23 19:46:16,TD1
58,57,49,dx,dom,2017-05-23 19:46:17,TD1
128,59,73,dx,dom,2017-05-23 19:46:18,TD1
42,94,99,dx,dom,2017-05-23 19:46:19,TD1
103,100,110,dx,dom,2017-05-23 19:46:20,TD1
125,66,93,dx,dom,2017-05-23 19:46:21,TD1
86,91,57,dx,dom,2017-05-23 19:46:22,TD1
100,146,96,dx,dom,2017-05-23 19:46:23,TD1
99,145,109,dx,dom,2017-05-23 19:46:24,TD1
84,127,90,dx,dom,2017-05-23 19:46:25,TD1
95,89,144,dx,dom,2017-05-23 19:46:26,TD1
97,181,75,dx,dom,2017-05-23 19:46:27,TD1
80,152,41,dx,dom,2017-05-23 19:46:28,TD1
110,76,60,dx,dom,2017-05-23 19:46:29,TD1
176,130,159,dx,dom,2017-05-23 19:46:30,TD1
